Nr okręgu;Mandaty;TD;NL;PiS;KONF;KO;RZ;POZ
1;12;10,75;9,51;34,8;6,33;33,78;3,64;1,00
2;8;12,13;7,98;33,34;6,02;37,17;3,41;1,00
3;14;13,74;11,35;26,66;6,98;36,94;4,21;1,00
4;12;15,06;9,92;30,45;6,42;35,01;3,76;1,00
5;13;15,68;11,25;34,06;6,37;29,52;3,65;1,00
6;15;15,87;5,72;45,48;8,38;20,32;2,75;1,00
7;12;13,04;5,62;50,75;7,79;17,4;2,39;1,00
8;12;15,07;9,27;27,76;6,51;37,73;3,99;1,00
9;10;11,89;12,22;26,82;5,57;41,07;4,63;1,00
10;9;13,73;6,39;46,6;7,62;21,69;3,06;1,00
11;12;14,5;7,73;41,46;6,82;25,89;3,54;1,00
12;8;14,97;6,04;42,86;7,88;24,24;3,26;1,00
13;14;16,86;11,04;30,68;7,71;30,73;3,88;1,00
14;10;11,58;3,18;53,73;8,73;16,1;2,13;1,00
15;9;18,64;4;48,67;7,99;17,02;2,43;1,00
16;10;17,07;6,52;44,11;6,52;22,4;3,35;1,00
17;9;13,98;5,34;48,68;7,31;20,96;2,62;1,00
18;12;15,51;4,85;48,62;8,21;18,71;2,66;1,00
19;20;13,25;13,45;20,14;7,24;43,23;5,54;1,00
20;12;15,06;7,06;31,74;7,06;35,23;3,85;1,00
21;12;12,74;7,24;31,26;6,49;33,59;3,02;1,00
22;11;13,79;4,47;54,7;8,62;15,85;2,32;1,00
23;15;12,42;4,87;51,6;9,48;17,7;2,29;1,00
24;14;18,86;4,84;42,39;9,79;20,84;2,59;1,00
25;12;14,7;9,41;25,2;6,23;41,7;3,98;1,00
26;14;13,59;8,33;29,24;7,21;37,91;4,05;1,00
27;9;14,55;7,77;36,71;7,84;28,67;3,72;1,00
28;7;14,72;9,41;36,35;6,56;29,11;3,64;1,00
29;9;13,34;9,21;30,16;6,95;36,06;4,15;1,00
30;9;12,45;6,84;38,06;8;29,98;3,33;1,00
31;12;13,27;8,46;30,88;6,7;36,79;4,08;1,00
32;9;9,85;21,6;29,74;5,69;30,3;4,44;1,00
33;16;13,8;6,83;47,07;6,55;20,93;2,80;1,00
34;8;15,4;8,11;35,2;6,54;31,87;3,80;1,00
35;10;16,11;8,09;32,33;6,93;33,07;3,74;1,00
36;12;16,16;8,52;35,85;6,98;28,58;3,17;1,00
37;9;16,63;9,48;38,69;6,97;23,99;3,98;1,00
38;9;17,66;7,84;29,11;6,87;34,87;3,92;1,00
39;10;16,54;12,31;19,57;5,9;44,09;4,60;1,00
40;8;12,35;8,72;31,36;6,02;38,69;3,90;1,00
41;12;12,62;9,39;28,79;5,94;40,13;4,12;1,00
